2024-06-26 16:55:38,448 INFO    StreamThr :28384 [internal.py:wandb_internal():87] W&B internal server running at pid: 28384, started at: 2024-06-26 16:55:38.447232
2024-06-26 16:55:38,448 DEBUG   HandlerThread:28384 [handler.py:handle_request():144] handle_request: status
2024-06-26 16:55:38,449 INFO    WriterThread:28384 [datastore.py:open_for_write():85] open: /Users/ryanmerrithew/Project-Build-an-ML-Pipeline-Starter/src/basic_cleaning/wandb/run-20240626_165538-foeymsna/run-foeymsna.wandb
2024-06-26 16:55:38,450 DEBUG   SenderThread:28384 [sender.py:send():334] send: header
2024-06-26 16:55:38,475 DEBUG   SenderThread:28384 [sender.py:send():334] send: run
2024-06-26 16:55:39,130 INFO    SenderThread:28384 [dir_watcher.py:__init__():216] watching files in: /Users/ryanmerrithew/Project-Build-an-ML-Pipeline-Starter/src/basic_cleaning/wandb/run-20240626_165538-foeymsna/files
2024-06-26 16:55:39,131 INFO    SenderThread:28384 [sender.py:_start_run_threads():1065] run started: foeymsna with start time 1719442538.447066
2024-06-26 16:55:39,131 DEBUG   SenderThread:28384 [sender.py:send_request():361] send_request: summary_record
2024-06-26 16:55:39,131 INFO    SenderThread:28384 [sender.py:_save_file():1319] saving file wandb-summary.json with policy end
2024-06-26 16:55:39,136 DEBUG   HandlerThread:28384 [handler.py:handle_request():144] handle_request: check_version
2024-06-26 16:55:39,136 DEBUG   SenderThread:28384 [sender.py:send_request():361] send_request: check_version
2024-06-26 16:55:39,405 DEBUG   HandlerThread:28384 [handler.py:handle_request():144] handle_request: run_start
2024-06-26 16:55:39,579 DEBUG   HandlerThread:28384 [system_info.py:__init__():31] System info init
2024-06-26 16:55:39,579 DEBUG   HandlerThread:28384 [system_info.py:__init__():46] System info init done
2024-06-26 16:55:39,579 INFO    HandlerThread:28384 [system_monitor.py:start():151] Starting system monitor
2024-06-26 16:55:39,579 INFO    SystemMonitor:28384 [system_monitor.py:_start():116] Starting system asset monitoring threads
2024-06-26 16:55:39,579 INFO    HandlerThread:28384 [system_monitor.py:probe():172] Collecting system info
2024-06-26 16:55:39,580 INFO    SystemMonitor:28384 [interfaces.py:start():168] Started cpu
2024-06-26 16:55:39,580 INFO    SystemMonitor:28384 [interfaces.py:start():168] Started disk
2024-06-26 16:55:39,580 DEBUG   HandlerThread:28384 [system_info.py:probe():195] Probing system
2024-06-26 16:55:39,581 INFO    SystemMonitor:28384 [interfaces.py:start():168] Started memory
2024-06-26 16:55:39,581 INFO    SystemMonitor:28384 [interfaces.py:start():168] Started network
2024-06-26 16:55:39,591 DEBUG   HandlerThread:28384 [system_info.py:_probe_git():180] Probing git
2024-06-26 16:55:39,628 DEBUG   HandlerThread:28384 [system_info.py:_probe_git():188] Probing git done
2024-06-26 16:55:39,628 DEBUG   HandlerThread:28384 [system_info.py:probe():241] Probing system done
